LocationName,Category,Latitude,Longitude,PartOf
Sanaa,Capital,44.2,15.35,Yemen
Santiago,Capital,-70.666667,-33.45,Chile
Santo Domingo,Capital,-69.9,18.46666667,Dominican Republic
Sao Tome,Capital,6.733333,0.333333333,Sao Tome and Principe
Sao Tome ,Country,6.733333,0.333333333,Africa
Sarajevo,Capital,18.416667,43.86666667,Bosnia and Herzegovina
Saudi Arabia,Country,46.7,24.65,Asia
Senegal,Country,-17.633333,14.73333333,Africa
Seoul,Capital,126.983333,37.55,South Korea
Serbia,Country,20.5,44.83333333,Europe
Seychelles,Country,55.45,-4.616666667,Africa
Sierra Leone,Country,-13.233333,8.483333333,Africa
Singapore,Capital,103.85,1.283333333,Singapore
Singapore,Country,103.85,1.283333333,Asia
Sint Maarten,Country,-63.033333,18.01666667,North America
Skopje,Capital,21.433333,42,Macedonia
Slovakia,Country,17.116667,48.15,Europe
Slovenia,Country,14.516667,46.05,Europe
Sofia,Capital,23.316667,42.68333333,Bulgaria
Solomon Islands,Country,159.95,-9.433333333,Australia
Somalia,Country,45.333333,2.066666667,Africa
Somaliland,Country,44.05,9.55,Africa
South Africa,Country,28.216667,-25.7,Africa
South Georgia and South Sandwich Islands,Country,-36.5,-54.283333,Antarctica
South Korea,Country,126.983333,37.55,Asia
South Sudan,Country,31.616667,4.85,Africa
Spain,Country,-3.683333,40.4,Europe
Sri Lanka,Country,79.833333,6.916666667,Asia
Stanley,Capital,-57.85,-51.7,Falkland Islands
Stockholm,Capital,18.05,59.33333333,Sweden
Stuttgart,Capital,9.1829321,48.7758459,Germany
Sudan,Country,32.533333,15.6,Africa
Suriname,Country,-55.166667,5.833333333,South America
Suva,Capital,178.416667,-18.13333333,Fiji
Svalbard,Country,15.633333,78.21666667,Europe
Swaziland,Country,31.133333,-26.31666667,Africa
Sweden,Country,18.05,59.33333333,Europe
Switzerland,Country,7.466667,46.91666667,Europe
Syria,Country,36.3,33.5,Asia
Taipei,Capital,121.516667,25.03333333,Taiwan
Taiwan,Country,121.516667,25.03333333,Asia
Tajikistan,Country,68.766667,38.55,Asia
Tallinn,Capital,24.716667,59.43333333,Estonia
Tanzania,Country,39.283333,-6.8,Africa
Tarawa,Capital,169.533333,-0.883333333,Kiribati
Tarnovo,Capital,25.6171514,43.0756739,Bulgaria
Tashkent,Capital,69.25,41.31666667,Uzbekistan
Tbilisi,Capital,44.833333,41.68333333,Georgia
Tegucigalpa,Capital,-87.216667,14.1,Honduras
Tehran,Capital,51.416667,35.7,Iran
Thailand,Country,100.516667,13.75,Asia
The Gambia,Country,-16.566667,13.45,Africa
The Settlement,Capital,105.716667,-10.41666667,Christmas Island
The Valley,Capital,-63.05,18.21666667,Anguilla
Thimphu,Capital,89.633333,27.46666667,Bhutan
Timor-Leste,Country,125.6,-8.583333333,Asia
Tirana,Capital,19.816667,41.31666667,Albania
Tobago,Country,-61.516667,10.65,North America
Togo,Country,1.216667,6.116666667,Africa
Tokelau,Country,-171.833333,-9.166667,Australia
Tokyo,Capital,139.75,35.68333333,Japan
Tonga,Country,-175.2,-21.13333333,Australia
Torshavn,Capital,-6.766667,62,Faroe Islands
Trinidad,Country,-61.516667,10.65,North America
Tripoli,Capital,13.166667,32.88333333,Libya
Tulagi,Capital,160.147069,-9.1015826,Solomon Islands
Tunis,Capital,10.183333,36.8,Tunisia
Tunisia,Country,10.183333,36.8,Africa
Turin,Capital,7.686864,45.0703393,Italy
Turkey,Country,32.866667,39.93333333,Europe
Turkmenistan,Country,58.383333,37.95,Asia
Turks and Caicos Islands,Country,-71.133333,21.46666667,North America
Turku,Capital,22.2666303,60.4518126,Finland
Tuvalu,Country,179.216667,-8.516666667,Australia
Uganda,Country,32.55,0.316666667,Africa
Ukraine,Country,30.516667,50.43333333,Europe
Ulaanbaatar,Capital,106.916667,47.91666667,Mongolia
United Arab Emirates,Country,54.366667,24.46666667,Asia
United Kingdom,Country,-0.083333,51.5,Europe
United States,Country,-77,38.883333,Central America
Uruguay,Country,-56.166667,-34.85,South America
US Minor Outlying Islands,Country,-77,38.883333,Australia
US Virgin Islands,Country,-64.933333,18.35,North America
Uzbekistan,Country,69.25,41.31666667,Asia
